Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2016-10-26,27-262,BOS,,BRK,W (+5),1,32:49,.696,.571,0.0,17.6,9.6,31.0,2.8,0.0,14.3,26.4,136,113,23.2,3.2
2,2,2016-10-27,27-263,BOS,@,CHI,L (-6),1,34:47,.709,.767,0.0,8.1,4.5,22.8,2.9,0.0,22.1,32.0,105,112,16.8,4.1
3,3,2016-10-29,27-265,BOS,@,CHO,W (+6),1,35:11,.520,.500,0.0,3.1,1.7,35.7,0.0,0.0,8.0,33.7,106,111,14.8,-0.7
4,4,2016-11-02,27-269,BOS,,CHI,W (+7),1,36:03,.582,.556,3.0,3.0,3.0,43.9,4.2,2.2,13.2,28.5,119,104,20.7,10.3
5,5,2016-11-03,27-270,BOS,@,CLE,L (-6),1,33:35,.596,.421,0.0,11.9,5.3,24.8,0.0,0.0,10.7,35.4,121,134,20.8,-1.0
6,6,2016-11-06,27-273,BOS,,DEN,L (-16),1,32:56,.673,.559,0.0,3.9,1.7,26.1,1.5,0.0,15.2,34.7,119,123,20.9,2.4
7,7,2016-11-09,27-276,BOS,@,WAS,L (-25),1,35:25,.513,.361,9.7,9.5,9.6,50.4,0.0,0.0,11.8,33.9,114,134,18.2,1.9
8,8,2016-11-11,27-278,BOS,,NYK,W (+28),1,27:48,.707,.618,6.3,3.1,4.7,35.5,1.7,0.0,8.9,31.4,142,96,23.8,16.2
9,9,2016-11-12,27-279,BOS,@,IND,W (+6),1,29:26,.587,.346,0.0,0.0,0.0,28.6,1.8,0.0,9.3,32.8,129,112,16.0,2.3
10,10,2016-11-14,27-281,BOS,@,NOP,L (-1),1,36:17,.554,.500,0.0,9.7,4.4,44.5,2.7,0.0,2.9,40.0,121,106,26.7,13.3
11,11,2016-11-16,27-283,BOS,,DAL,W (+7),1,33:09,.599,.472,7.2,6.4,6.8,38.0,0.0,0.0,16.6,41.4,117,99,19.4,9.0
