Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2017-10-17,25-208,BOS,@,CLE,L (-3),1,39:21,.615,.588,4.9,5.3,5.1,46.5,3.7,0.0,10.1,22.2,124,103,21.7,10.5
2,2,2017-10-18,25-209,BOS,,MIL,L (-8),1,38:56,.328,.320,2.5,9.7,5.6,12.2,3.8,0.0,10.4,31.7,69,109,5.2,-7.6
3,3,2017-10-20,25-211,BOS,@,PHI,W (+10),1,35:48,.523,.441,5.7,9.8,7.9,20.9,2.7,0.0,19.9,28.7,99,92,12.3,2.8
4,4,2017-10-24,25-215,BOS,,NYK,W (+21),1,29:32,.590,.423,0.0,10.4,5.8,39.4,1.7,0.0,15.0,32.8,117,98,15.9,0.8
5,5,2017-10-26,25-217,BOS,@,MIL,W (+7),1,34:35,.636,.611,0.0,10.2,5.1,50.8,2.9,2.7,9.6,28.2,122,89,20.7,11.5
6,6,2017-10-28,25-219,BOS,@,MIA,W (+6),1,33:33,.503,.478,0.0,15.9,7.1,21.8,4.6,3.0,7.7,35.5,101,91,16.9,9.2
7,7,2017-10-30,25-221,BOS,,SAS,W (+14),1,30:20,.730,.719,0.0,6.2,3.4,36.3,5.2,2.6,5.7,25.5,152,98,23.1,19.5
8,8,2017-11-01,25-223,BOS,,SAC,W (+27),1,27:00,.615,.588,0.0,0.0,0.0,34.5,8.0,0.0,10.1,33.2,135,89,18.4,14.0
9,9,2017-11-03,25-225,BOS,@,OKC,W (+7),1,34:29,.536,.523,2.9,11.4,7.2,37.8,3.0,2.7,0.0,31.0,121,99,21.6,14.1
10,10,2017-11-05,25-227,BOS,@,ORL,W (+16),1,27:40,.373,.308,0.0,0.0,0.0,27.1,1.7,0.0,6.3,24.7,88,95,5.4,-5.5
11,11,2017-11-06,25-228,BOS,@,ATL,W (+3),1,36:57,.737,.727,0.0,9.7,5.0,43.7,0.0,0.0,7.8,32.3,137,115,27.4,10.5
12,12,2017-11-08,25-230,BOS,,LAL,W (+11),1,33:02,.409,.333,0.0,19.8,9.1,26.1,1.4,0.0,7.9,29.4,93,95,10.2,-1.5
13,13,2017-11-10,25-232,BOS,,CHO,W (+3),1,1:50,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0,97,-0.7,-23.5
14,,2017-11-12,25-234,BOS,,TOR,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14,2017-11-14,25-236,BOS,@,BRK,W (+7),1,29:01,.531,.450,3.8,6.8,5.4,32.1,1.7,0.0,7.8,37.7,113,106,17.2,6.6
16,15,2017-11-16,25-238,BOS,,GSW,W (+4),1,33:47,.410,.281,0.0,13.7,7.2,42.0,1.4,2.8,4.9,26.3,92,89,11.6,4.7
17,16,2017-11-18,25-240,BOS,@,ATL,W (+11),1,31:26,1.056,1.042,0.0,16.1,8.0,32.2,0.0,2.8,22.0,26.3,160,111,25.8,18.0
18,17,2017-11-20,25-242,BOS,@,DAL,W (+8),1,38:46,.876,.841,3.3,4.9,4.2,50.9,1.3,0.0,10.1,36.3,155,101,39.9,24.0
19,18,2017-11-22,25-244,BOS,@,MIA,L (-6),1,33:24,.484,.500,3.0,0.0,1.7,22.5,4.5,0.0,4.0,33.3,97,107,14.8,3.6
20,19,2017-11-24,25-246,BOS,,ORL,W (+15),1,24:52,.773,.667,0.0,15.8,8.0,23.5,2.0,0.0,4.9,35.8,156,108,25.6,16.5
21,20,2017-11-25,25-247,BOS,@,IND,W (+10),1,34:08,.599,.575,4.7,11.7,8.5,28.6,1.5,0.0,12.6,34.3,115,110,18.8,2.0
22,21,2017-11-27,25-249,BOS,,DET,L (-10),1,35:56,.472,.406,0.0,13.7,7.0,37.6,0.0,0.0,23.9,32.5,91,127,7.9,-10.5
23,22,2017-11-30,25-252,BOS,,PHI,W (+11),1,32:31,.734,.690,4.0,9.2,6.9,19.9,0.0,0.0,7.5,37.7,136,110,27.0,13.7
